player,overs,maidens,runs,wickets,economy,average,sr,opposition,ground,date
B Kumar (INDIA),8,0,42,1,5.25,42,48,v West Indies,Kanpur,27/11/13
Mohammed Shami (INDIA),10,1,49,1,4.9,49,60,v West Indies,Kanpur,27/11/13
SK Raina (INDIA),5,0,29,0,5.8,-0,-0,v West Indies,Kanpur,27/11/13
MM Sharma (INDIA),7,0,47,0,6.71,-0,-0,v West Indies,Kanpur,27/11/13
R Ashwin (INDIA),10,0,58,0,5.8,-0,-0,v South Africa,Johannesburg,05/12/13
RA Jadeja (INDIA),8,0,58,0,7.25,-0,-0,v South Africa,Johannesburg,05/12/13
V Kohli (INDIA),2,0,15,1,7.5,15,12,v South Africa,Johannesburg,05/12/13
B Kumar (INDIA),9,0,68,0,7.55,-0,-0,v South Africa,Johannesburg,05/12/13
Mohammed Shami (INDIA),10,1,68,3,6.8,22.66,20,v South Africa,Johannesburg,05/12/13
SK Raina (INDIA),1,0,7,0,7,-0,-0,v South Africa,Johannesburg,05/12/13
MM Sharma (INDIA),10,0,82,0,8.2,-0,-0,v South Africa,Johannesburg,05/12/13
R Ashwin (INDIA),9,0,48,1,5.33,48,54,v South Africa,Durban,08/12/13
RA Jadeja (INDIA),10,0,49,1,4.9,49,60,v South Africa,Durban,08/12/13
V Kohli (INDIA),3,0,17,0,5.66,-0,-0,v South Africa,Durban,08/12/13
Mohammed Shami (INDIA),8,0,48,3,6,16,16,v South Africa,Durban,08/12/13
SK Raina (INDIA),6,0,32,0,5.33,-0,-0,v South Africa,Durban,08/12/13
I Sharma (INDIA),7,0,38,0,5.42,-0,-0,v South Africa,Durban,08/12/13
UT Yadav (INDIA),6,0,45,0,7.5,-0,-0,v South Africa,Durban,08/12/13
R Ashwin (INDIA),9,0,63,0,7,-0,-0,v South Africa,Centurion,11/12/13
RA Jadeja (INDIA),6,0,32,0,5.33,-0,-0,v South Africa,Centurion,11/12/13
V Kohli (INDIA),3,0,22,0,7.33,-0,-0,v South Africa,Centurion,11/12/13
Mohammed Shami (INDIA),10,0,69,3,6.9,23,20,v South Africa,Centurion,11/12/13
SK Raina (INDIA),3,0,16,0,5.33,-0,-0,v South Africa,Centurion,11/12/13
I Sharma (INDIA),10,1,40,4,4,10,15,v South Africa,Centurion,11/12/13
UT Yadav (INDIA),9,0,57,1,6.33,57,54,v South Africa,Centurion,11/12/13
NM Coulter-Nile (AUSTRALIA),10,0,51,1,5.1,51,60,v England,Melbourne,12/01/14
XJ Doherty (AUSTRALIA),7,0,29,1,4.14,29,42,v England,Melbourne,12/01/14
JP Faulkner (AUSTRALIA),10,0,68,1,6.8,68,60,v England,Melbourne,12/01/14
CJ McKay (AUSTRALIA),10,0,44,3,4.4,14.66,20,v England,Melbourne,12/01/14
GJ Maxwell (AUSTRALIA),8,0,40,1,5,40,48,v England,Melbourne,12/01/14
SR Watson (AUSTRALIA),5,0,36,0,7.2,-0,-0,v England,Melbourne,12/01/14
MJ Clarke (AUSTRALIA),4,0,17,0,4.25,-0,-0,v England,Brisbane,17/01/14
NM Coulter-Nile (AUSTRALIA),9,0,55,2,6.11,27.5,27,v England,Brisbane,17/01/14
JP Faulkner (AUSTRALIA),10,0,73,2,7.3,36.5,30,v England,Brisbane,17/01/14
MG Johnson (AUSTRALIA),10,0,59,1,5.9,59,60,v England,Brisbane,17/01/14
CJ McKay (AUSTRALIA),9,0,61,0,6.77,-0,-0,v England,Brisbane,17/01/14
GJ Maxwell (AUSTRALIA),8,0,31,2,3.87,15.5,24,v England,Brisbane,17/01/14
R Ashwin (INDIA),10,0,52,0,5.2,-0,-0,v New Zealand,Napier,19/01/14
RA Jadeja (INDIA),9,0,61,1,6.77,61,54,v New Zealand,Napier,19/01/14
V Kohli (INDIA),3,0,13,0,4.33,-0,-0,v New Zealand,Napier,19/01/14
B Kumar (INDIA),10,0,38,1,3.8,38,60,v New Zealand,Napier,19/01/14
Mohammed Shami (INDIA),9,0,55,4,6.11,13.75,13.5,v New Zealand,Napier,19/01/14
I Sharma (INDIA),9,0,72,1,8,72,54,v New Zealand,Napier,19/01/14
DT Christian (AUSTRALIA),9,0,52,2,5.77,26,27,v England,Sydney,19/01/14
NM Coulter-Nile (AUSTRALIA),10,0,47,3,4.7,15.66,20,v England,Sydney,19/01/14
XJ Doherty (AUSTRALIA),10,2,28,1,2.8,28,60,v England,Sydney,19/01/14
JP Faulkner (AUSTRALIA),6,0,35,2,5.83,17.5,18,v England,Sydney,19/01/14
GJ Maxwell (AUSTRALIA),9,0,38,0,4.22,-0,-0,v England,Sydney,19/01/14
JL Pattinson (AUSTRALIA),6,0,41,0,6.83,-0,-0,v England,Sydney,19/01/14
R Ashwin (INDIA),8,0,50,0,6.25,-0,-0,v New Zealand,Hamilton,22/01/14
RA Jadeja (INDIA),8,0,46,1,5.75,46,48,v New Zealand,Hamilton,22/01/14
V Kohli (INDIA),2,0,12,0,6,-0,-0,v New Zealand,Hamilton,22/01/14
B Kumar (INDIA),7,1,43,1,6.14,43,42,v New Zealand,Hamilton,22/01/14
Mohammed Shami (INDIA),7,0,55,3,7.85,18.33,14,v New Zealand,Hamilton,22/01/14
SK Raina (INDIA),4,0,18,1,4.5,18,24,v New Zealand,Hamilton,22/01/14
I Sharma (INDIA),6,0,46,1,7.66,46,36,v New Zealand,Hamilton,22/01/14
DT Christian (AUSTRALIA),3,0,15,1,5,15,18,v England,Perth,24/01/14
NM Coulter-Nile (AUSTRALIA),10,0,62,1,6.2,62,60,v England,Perth,24/01/14
JP Faulkner (AUSTRALIA),10,0,67,4,6.7,16.75,15,v England,Perth,24/01/14
MG Johnson (AUSTRALIA),10,0,72,0,7.2,-0,-0,v England,Perth,24/01/14
GJ Maxwell (AUSTRALIA),9,0,37,1,4.11,37,54,v England,Perth,24/01/14
JL Pattinson (AUSTRALIA),8,0,63,1,7.87,63,48,v England,Perth,24/01/14
VR Aaron (INDIA),7,0,52,1,7.42,52,42,v New Zealand,Auckland,25/01/14
R Ashwin (INDIA),10,0,47,1,4.7,47,60,v New Zealand,Auckland,25/01/14
RA Jadeja (INDIA),10,0,47,2,4.7,23.5,30,v New Zealand,Auckland,25/01/14
B Kumar (INDIA),9,0,48,1,5.33,48,54,v New Zealand,Auckland,25/01/14
Mohammed Shami (INDIA),10,0,84,2,8.4,42,30,v New Zealand,Auckland,25/01/14
SK Raina (INDIA),4,0,26,0,6.5,-0,-0,v New Zealand,Auckland,25/01/14
NM Coulter-Nile (AUSTRALIA),10,1,34,3,3.4,11.33,20,v England,Adelaide,26/01/14
XJ Doherty (AUSTRALIA),10,1,40,0,4,-0,-0,v England,Adelaide,26/01/14
JP Faulkner (AUSTRALIA),10,0,37,2,3.7,18.5,30,v England,Adelaide,26/01/14
CJ McKay (AUSTRALIA),10,1,36,3,3.6,12,20,v England,Adelaide,26/01/14
GJ Maxwell (AUSTRALIA),3,0,25,0,8.33,-0,-0,v England,Adelaide,26/01/14
SR Watson (AUSTRALIA),6.4,0,35,1,5.25,35,40,v England,Adelaide,26/01/14
VR Aaron (INDIA),6.1,0,51,1,8.27,51,37,v New Zealand,Hamilton,28/01/14
R Ashwin (INDIA),10,0,41,0,4.1,-0,-0,v New Zealand,Hamilton,28/01/14
STR Binny (INDIA),1,0,8,0,8,-0,-0,v New Zealand,Hamilton,28/01/14
RA Jadeja (INDIA),10,2,33,0,3.3,-0,-0,v New Zealand,Hamilton,28/01/14
B Kumar (INDIA),10,0,62,0,6.2,-0,-0,v New Zealand,Hamilton,28/01/14
Mohammed Shami (INDIA),8,0,61,1,7.62,61,48,v New Zealand,Hamilton,28/01/14
AT Rayudu (INDIA),3,0,23,0,7.66,-0,-0,v New Zealand,Hamilton,28/01/14
VR Aaron (INDIA),10,0,60,2,6,30,30,v New Zealand,Wellington,31/01/14
R Ashwin (INDIA),6,0,37,0,6.16,-0,-0,v New Zealand,Wellington,31/01/14
RA Jadeja (INDIA),9,0,54,0,6,-0,-0,v New Zealand,Wellington,31/01/14
V Kohli (INDIA),7,0,36,1,5.14,36,42,v New Zealand,Wellington,31/01/14
B Kumar (INDIA),8,0,48,1,6,48,48,v New Zealand,Wellington,31/01/14
Mohammed Shami (INDIA),10,3,61,1,6.1,61,60,v New Zealand,Wellington,31/01/14
VR Aaron (INDIA),7.5,0,74,1,9.44,74,47,v Bangladesh,Fatullah,26/02/14
R Ashwin (INDIA),10,1,50,1,5,50,60,v Bangladesh,Fatullah,26/02/14
RA Jadeja (INDIA),10,0,37,0,3.7,-0,-0,v Bangladesh,Fatullah,26/02/14
V Kohli (INDIA),1.1,0,6,0,5.14,-0,-0,v Bangladesh,Fatullah,26/02/14
B Kumar (INDIA),8,1,41,1,5.12,41,48,v Bangladesh,Fatullah,26/02/14
Mohammed Shami (INDIA),10,1,50,4,5,12.5,15,v Bangladesh,Fatullah,26/02/14
AT Rayudu (INDIA),3,0,17,0,5.66,-0,-0,v Bangladesh,Fatullah,26/02/14
R Ashwin (INDIA),10,0,42,2,4.2,21,30,v Sri Lanka,Fatullah,28/02/14
STR Binny (INDIA),4,0,22,0,5.5,-0,-0,v Sri Lanka,Fatullah,28/02/14
RA Jadeja (INDIA),10,1,30,3,3,10,20,v Sri Lanka,Fatullah,28/02/14
B Kumar (INDIA),9.2,1,45,0,4.82,-0,-0,v Sri Lanka,Fatullah,28/02/14
Mohammed Shami (INDIA),10,0,81,3,8.1,27,20,v Sri Lanka,Fatullah,28/02/14
AT Rayudu (INDIA),1,0,9,0,9,-0,-0,v Sri Lanka,Fatullah,28/02/14
RG Sharma (INDIA),5,0,29,0,5.8,-0,-0,v Sri Lanka,Fatullah,28/02/14
R Ashwin (INDIA),9.4,0,44,3,4.55,14.66,19.3,v Pakistan,Dhaka,02/03/14
RA Jadeja (INDIA),10,1,61,0,6.1,-0,-0,v Pakistan,Dhaka,02/03/14
B Kumar (INDIA),10,0,56,2,5.6,28,30,v Pakistan,Dhaka,02/03/14
A Mishra (INDIA),10,0,28,2,2.8,14,30,v Pakistan,Dhaka,02/03/14
Mohammed Shami (INDIA),10,0,49,0,4.9,-0,-0,v Pakistan,Dhaka,02/03/14
R Ashwin (INDIA),10,3,31,3,3.1,10.33,20,v Afghanistan,Dhaka,05/03/14
RA Jadeja (INDIA),10,1,30,4,3,7.5,15,v Afghanistan,Dhaka,05/03/14
B Kumar (INDIA),8,1,25,0,3.12,-0,-0,v Afghanistan,Dhaka,05/03/14
A Mishra (INDIA),10,1,21,1,2.1,21,60,v Afghanistan,Dhaka,05/03/14
Mohammed Shami (INDIA),7.2,0,50,2,6.81,25,22,v Afghanistan,Dhaka,05/03/14
A Mishra (INDIA),10,0,55,2,5.5,27.5,30,v Bangladesh,Dhaka,15/06/14
Parvez Rasool (INDIA),10,0,60,2,6,30,30,v Bangladesh,Dhaka,15/06/14
AR Patel (INDIA),10,0,59,1,5.9,59,60,v Bangladesh,Dhaka,15/06/14
SK Raina (INDIA),5,0,24,1,4.8,24,30,v Bangladesh,Dhaka,15/06/14
MM Sharma (INDIA),5.4,1,23,0,4.05,-0,-0,v Bangladesh,Dhaka,15/06/14
RV Uthappa (INDIA),0.2,0,0,0,0,-0,-0,v Bangladesh,Dhaka,15/06/14
UT Yadav (INDIA),9,0,48,3,5.33,16,18,v Bangladesh,Dhaka,15/06/14
STR Binny (INDIA),4.4,2,4,6,0.85,0.66,4.6,v Bangladesh,Dhaka,17/06/14
MM Sharma (INDIA),8,2,22,4,2.75,5.5,12,v Bangladesh,Dhaka,17/06/14
UT Yadav (INDIA),5,0,32,0,6.4,-0,-0,v Bangladesh,Dhaka,17/06/14
JP Faulkner (AUSTRALIA),6,0,19,1,3.16,19,36,v Zimbabwe,Harare,25/08/14
MG Johnson (AUSTRALIA),6,2,7,1,1.16,7,36,v Zimbabwe,Harare,25/08/14
NM Lyon (AUSTRALIA),7,1,42,2,6,21,21,v Zimbabwe,Harare,25/08/14
MR Marsh (AUSTRALIA),5,0,15,1,3,15,30,v Zimbabwe,Harare,25/08/14
KW Richardson (AUSTRALIA),5,2,28,0,5.6,-0,-0,v Zimbabwe,Harare,25/08/14
SPD Smith (AUSTRALIA),4.3,0,16,3,3.55,5.33,9,v Zimbabwe,Harare,25/08/14
MA Starc (AUSTRALIA),6,1,23,2,3.83,11.5,18,v Zimbabwe,Harare,25/08/14
JP Faulkner (AUSTRALIA),8.4,0,59,0,6.8,-0,-0,v South Africa,Harare,27/08/14
MG Johnson (AUSTRALIA),10,0,63,0,6.3,-0,-0,v South Africa,Harare,27/08/14
MR Marsh (AUSTRALIA),5,0,36,0,7.2,-0,-0,v South Africa,Harare,27/08/14
GJ Maxwell (AUSTRALIA),3,0,20,0,6.66,-0,-0,v South Africa,Harare,27/08/14
KW Richardson (AUSTRALIA),10,0,68,1,6.8,68,60,v South Africa,Harare,27/08/14
SPD Smith (AUSTRALIA),2,0,20,0,10,-0,-0,v South Africa,Harare,27/08/14
MA Starc (AUSTRALIA),8,0,62,2,7.75,31,24,v South Africa,Harare,27/08/14
R Ashwin (INDIA),9.1,0,38,2,4.14,19,27.5,v England,Cardiff,27/08/14
RA Jadeja (INDIA),7,0,28,4,4,7,10.5,v England,Cardiff,27/08/14
B Kumar (INDIA),7,0,30,1,4.28,30,42,v England,Cardiff,27/08/14
Mohammed Shami (INDIA),6,0,32,2,5.33,16,18,v England,Cardiff,27/08/14
SK Raina (INDIA),3,0,12,1,4,12,18,v England,Cardiff,27/08/14
MM Sharma (INDIA),6,1,18,0,3,-0,-0,v England,Cardiff,27/08/14
R Ashwin (INDIA),10,0,39,3,3.9,13,20,v England,Nottingham,30/08/14
RA Jadeja (INDIA),10,0,38,1,3.8,38,60,v England,Nottingham,30/08/14
B Kumar (INDIA),8,0,45,1,5.62,45,48,v England,Nottingham,30/08/14
Mohammed Shami (INDIA),9,0,40,1,4.44,40,54,v England,Nottingham,30/08/14
SK Raina (INDIA),8,0,37,1,4.62,37,48,v England,Nottingham,30/08/14
AT Rayudu (INDIA),2,0,8,1,4,8,12,v England,Nottingham,30/08/14
MM Sharma (INDIA),3,0,17,0,5.66,-0,-0,v England,Nottingham,30/08/14
MJ Clarke (AUSTRALIA),1,0,2,0,2,-0,-0,v Zimbabwe,Harare,31/08/14
BCJ Cutting (AUSTRALIA),6,0,18,0,3,-0,-0,v Zimbabwe,Harare,31/08/14
JP Faulkner (AUSTRALIA),7,0,28,0,4,-0,-0,v Zimbabwe,Harare,31/08/14
AJ Finch (AUSTRALIA),2,0,19,0,9.5,-0,-0,v Zimbabwe,Harare,31/08/14
NM Lyon (AUSTRALIA),10,1,44,4,4.4,11,15,v Zimbabwe,Harare,31/08/14
MR Marsh (AUSTRALIA),4,1,13,0,3.25,-0,-0,v Zimbabwe,Harare,31/08/14
GJ Maxwell (AUSTRALIA),8,0,41,1,5.12,41,48,v Zimbabwe,Harare,31/08/14
MA Starc (AUSTRALIA),10,3,41,2,4.1,20.5,30,v Zimbabwe,Harare,31/08/14
MG Johnson (AUSTRALIA),9,1,30,2,3.33,15,27,v South Africa,Harare,02/09/14
NM Lyon (AUSTRALIA),10,0,53,1,5.3,53,60,v South Africa,Harare,02/09/14
MR Marsh (AUSTRALIA),5,0,23,2,4.6,11.5,15,v South Africa,Harare,02/09/14
GJ Maxwell (AUSTRALIA),4,0,22,2,5.5,11,12,v South Africa,Harare,02/09/14
KW Richardson (AUSTRALIA),8,0,38,2,4.75,19,24,v South Africa,Harare,02/09/14
MA Starc (AUSTRALIA),8,1,47,0,5.87,-0,-0,v South Africa,Harare,02/09/14
R Ashwin (INDIA),10,0,48,1,4.8,48,60,v England,Birmingham,02/09/14
RA Jadeja (INDIA),10,0,40,2,4,20,30,v England,Birmingham,02/09/14
DS Kulkarni (INDIA),7,0,35,0,5,-0,-0,v England,Birmingham,02/09/14
B Kumar (INDIA),8,3,14,2,1.75,7,24,v England,Birmingham,02/09/14
Mohammed Shami (INDIA),7.3,1,28,3,3.73,9.33,15,v England,Birmingham,02/09/14
SK Raina (INDIA),7,0,36,1,5.14,36,42,v England,Birmingham,02/09/14
R Ashwin (INDIA),10,2,49,1,4.9,49,60,v England,Leeds,05/09/14
RA Jadeja (INDIA),9,0,66,0,7.33,-0,-0,v England,Leeds,05/09/14
B Kumar (INDIA),8,0,45,1,5.62,45,48,v England,Leeds,05/09/14
Mohammed Shami (INDIA),10,0,52,2,5.2,26,30,v England,Leeds,05/09/14
SK Raina (INDIA),7,0,32,1,4.57,32,42,v England,Leeds,05/09/14
UT Yadav (INDIA),6,0,46,1,7.66,46,36,v England,Leeds,05/09/14
JP Faulkner (AUSTRALIA),8,0,54,1,6.75,54,48,v South Africa,Harare,06/09/14
MG Johnson (AUSTRALIA),9.5,0,52,1,5.28,52,59,v South Africa,Harare,06/09/14
NM Lyon (AUSTRALIA),10,1,41,0,4.1,-0,-0,v South Africa,Harare,06/09/14
MR Marsh (AUSTRALIA),5,0,25,0,5,-0,-0,v South Africa,Harare,06/09/14
GJ Maxwell (AUSTRALIA),2,0,12,1,6,12,12,v South Africa,Harare,06/09/14
SPD Smith (AUSTRALIA),2,0,9,1,4.5,9,12,v South Africa,Harare,06/09/14
MA Starc (AUSTRALIA),4,0,27,0,6.75,-0,-0,v South Africa,Harare,06/09/14
SA Abbott (AUSTRALIA),5,0,25,1,5,25,30,v Pakistan,Sharjah,07/10/14
JP Faulkner (AUSTRALIA),2,0,20,0,10,-0,-0,v Pakistan,Sharjah,07/10/14
MG Johnson (AUSTRALIA),7,1,24,3,3.42,8,14,v Pakistan,Sharjah,07/10/14
NM Lyon (AUSTRALIA),10,2,33,2,3.3,16.5,30,v Pakistan,Sharjah,07/10/14
GJ Maxwell (AUSTRALIA),6,1,29,2,4.83,14.5,18,v Pakistan,Sharjah,07/10/14
KW Richardson (AUSTRALIA),6.3,1,22,1,3.38,22,39,v Pakistan,Sharjah,07/10/14
RA Jadeja (INDIA),10,0,58,1,5.8,58,60,v West Indies,Kochi,08/10/14
B Kumar (INDIA),10,1,38,0,3.8,-0,-0,v West Indies,Kochi,08/10/14
A Mishra (INDIA),10,0,72,1,7.2,72,60,v West Indies,Kochi,08/10/14
Mohammed Shami (INDIA),9,1,66,4,7.33,16.5,13.5,v West Indies,Kochi,08/10/14
SK Raina (INDIA),2,0,14,0,7,-0,-0,v West Indies,Kochi,08/10/14
MM Sharma (INDIA),9,0,61,0,6.77,-0,-0,v West Indies,Kochi,08/10/14
XJ Doherty (AUSTRALIA),10,0,44,1,4.4,44,60,v Pakistan,Dubai (DSC),10/10/14
JP Faulkner (AUSTRALIA),7,0,27,1,3.85,27,42,v Pakistan,Dubai (DSC),10/10/14
MG Johnson (AUSTRALIA),10,0,40,3,4,13.33,20,v Pakistan,Dubai (DSC),10/10/14
NM Lyon (AUSTRALIA),10,0,40,1,4,40,60,v Pakistan,Dubai (DSC),10/10/14
GJ Maxwell (AUSTRALIA),3,0,19,0,6.33,-0,-0,v Pakistan,Dubai (DSC),10/10/14
KW Richardson (AUSTRALIA),9.3,0,43,1,4.52,43,57,v Pakistan,Dubai (DSC),10/10/14
RA Jadeja (INDIA),9,0,44,3,4.88,14.66,18,v West Indies,Delhi,11/10/14
V Kohli (INDIA),2,0,20,0,10,-0,-0,v West Indies,Delhi,11/10/14
B Kumar (INDIA),7,0,32,0,4.57,-0,-0,v West Indies,Delhi,11/10/14
A Mishra (INDIA),10,2,40,2,4,20,30,v West Indies,Delhi,11/10/14
Mohammed Shami (INDIA),9.3,0,36,4,3.78,9,14.2,v West Indies,Delhi,11/10/14
UT Yadav (INDIA),9,0,42,1,4.66,42,54,v West Indies,Delhi,11/10/14
XJ Doherty (AUSTRALIA),10,1,54,2,5.4,27,30,v Pakistan,Abu Dhabi,12/10/14
JP Faulkner (AUSTRALIA),10,0,52,2,5.2,26,30,v Pakistan,Abu Dhabi,12/10/14
GJ Maxwell (AUSTRALIA),8,1,41,2,5.12,20.5,24,v Pakistan,Abu Dhabi,12/10/14
KW Richardson (AUSTRALIA),10,0,36,2,3.6,18,30,v Pakistan,Abu Dhabi,12/10/14
SPD Smith (AUSTRALIA),2,0,7,0,3.5,-0,-0,v Pakistan,Abu Dhabi,12/10/14
MA Starc (AUSTRALIA),10,1,33,1,3.3,33,60,v Pakistan,Abu Dhabi,12/10/14
RA Jadeja (INDIA),9,1,80,2,8.88,40,27,v West Indies,Dharamsala,17/10/14
V Kohli (INDIA),1,0,14,0,14,-0,-0,v West Indies,Dharamsala,17/10/14
B Kumar (INDIA),10,2,25,2,2.5,12.5,30,v West Indies,Dharamsala,17/10/14
Mohammed Shami (INDIA),9.1,0,72,2,7.85,36,27.5,v West Indies,Dharamsala,17/10/14
AR Patel (INDIA),10,1,26,2,2.6,13,30,v West Indies,Dharamsala,17/10/14
UT Yadav (INDIA),9,0,44,2,4.88,22,27,v West Indies,Dharamsala,17/10/14
VR Aaron (INDIA),4.1,0,26,0,6.24,-0,-0,v Sri Lanka,Cuttack,02/11/14
R Ashwin (INDIA),9,0,52,1,5.77,52,54,v Sri Lanka,Cuttack,02/11/14
V Kohli (INDIA),0.5,0,6,0,7.2,-0,-0,v Sri Lanka,Cuttack,02/11/14
AR Patel (INDIA),6,0,24,2,4,12,18,v Sri Lanka,Cuttack,02/11/14
SK Raina (INDIA),5,0,24,1,4.8,24,30,v Sri Lanka,Cuttack,02/11/14
I Sharma (INDIA),8,1,34,4,4.25,8.5,12,v Sri Lanka,Cuttack,02/11/14
UT Yadav (INDIA),6.2,2,24,2,3.78,12,19,v Sri Lanka,Cuttack,02/11/14
R Ashwin (INDIA),10,1,49,2,4.9,24.5,30,v Sri Lanka,Ahmedabad,06/11/14
RA Jadeja (INDIA),10,0,64,1,6.4,64,60,v Sri Lanka,Ahmedabad,06/11/14
AR Patel (INDIA),10,1,39,2,3.9,19.5,30,v Sri Lanka,Ahmedabad,06/11/14
I Sharma (INDIA),10,0,58,0,5.8,-0,-0,v Sri Lanka,Ahmedabad,06/11/14
UT Yadav (INDIA),10,1,54,2,5.4,27,30,v Sri Lanka,Ahmedabad,06/11/14
R Ashwin (INDIA),10,0,43,1,4.3,43,60,v Sri Lanka,Hyderabad (Deccan),09/11/14
DS Kulkarni (INDIA),9.2,0,58,1,6.21,58,56,v Sri Lanka,Hyderabad (Deccan),09/11/14
AR Patel (INDIA),10,1,40,3,4,13.33,20,v Sri Lanka,Hyderabad (Deccan),09/11/14
SK Raina (INDIA),3,0,15,0,5,-0,-0,v Sri Lanka,Hyderabad (Deccan),09/11/14
AT Rayudu (INDIA),3,0,16,1,5.33,16,18,v Sri Lanka,Hyderabad (Deccan),09/11/14
I Sharma (INDIA),4,1,14,0,3.5,-0,-0,v Sri Lanka,Hyderabad (Deccan),09/11/14
UT Yadav (INDIA),9,0,53,4,5.88,13.25,13.5,v Sri Lanka,Hyderabad (Deccan),09/11/14
STR Binny (INDIA),8,0,55,2,6.87,27.5,24,v Sri Lanka,Kolkata,13/11/14
DS Kulkarni (INDIA),10,1,34,4,3.4,8.5,15,v Sri Lanka,Kolkata,13/11/14
AR Patel (INDIA),7.1,0,51,2,7.11,25.5,21.5,v Sri Lanka,Kolkata,13/11/14
SK Raina (INDIA),1,0,3,0,3,-0,-0,v Sri Lanka,Kolkata,13/11/14
KV Sharma (INDIA),9,1,64,0,7.11,-0,-0,v Sri Lanka,Kolkata,13/11/14
UT Yadav (INDIA),8,0,38,2,4.75,19,24,v Sri Lanka,Kolkata,13/11/14
NM Coulter-Nile (AUSTRALIA),10,0,48,4,4.8,12,15,v South Africa,Perth,14/11/14
JR Hazlewood (AUSTRALIA),10,0,50,1,5,50,60,v South Africa,Perth,14/11/14
MG Johnson (AUSTRALIA),10,1,38,2,3.8,19,30,v South Africa,Perth,14/11/14
MR Marsh (AUSTRALIA),7,0,50,0,7.14,-0,-0,v South Africa,Perth,14/11/14
GJ Maxwell (AUSTRALIA),5.1,0,32,1,6.19,32,31,v South Africa,Perth,14/11/14
SR Watson (AUSTRALIA),6,0,48,1,8,48,36,v South Africa,Perth,14/11/14
NM Coulter-Nile (AUSTRALIA),6,0,54,0,9,-0,-0,v South Africa,Perth,16/11/14
JR Hazlewood (AUSTRALIA),9.4,2,31,5,3.2,6.2,11.6,v South Africa,Perth,16/11/14
MG Johnson (AUSTRALIA),8,1,47,1,5.87,47,48,v South Africa,Perth,16/11/14
MR Marsh (AUSTRALIA),1,0,4,0,4,-0,-0,v South Africa,Perth,16/11/14
GJ Maxwell (AUSTRALIA),3,0,20,1,6.66,20,18,v South Africa,Perth,16/11/14
R Ashwin (INDIA),10,1,56,2,5.6,28,30,v Sri Lanka,Ranchi,16/11/14
STR Binny (INDIA),8,1,28,1,3.5,28,48,v Sri Lanka,Ranchi,16/11/14
DS Kulkarni (INDIA),8,0,57,3,7.12,19,16,v Sri Lanka,Ranchi,16/11/14
AR Patel (INDIA),10,0,45,2,4.5,22.5,30,v Sri Lanka,Ranchi,16/11/14
AT Rayudu (INDIA),4,0,33,0,8.25,-0,-0,v Sri Lanka,Ranchi,16/11/14
KV Sharma (INDIA),10,0,61,0,6.1,-0,-0,v Sri Lanka,Ranchi,16/11/14
XJ Doherty (AUSTRALIA),6,0,31,0,5.16,-0,-0,v South Africa,Canberra,19/11/14
JR Hazlewood (AUSTRALIA),9.3,0,51,3,5.36,17,19,v South Africa,Canberra,19/11/14
MR Marsh (AUSTRALIA),7,0,41,1,5.85,41,42,v South Africa,Canberra,19/11/14
KW Richardson (AUSTRALIA),8,0,49,1,6.12,49,48,v South Africa,Canberra,19/11/14
MA Starc (AUSTRALIA),8,1,32,4,4,8,12,v South Africa,Canberra,19/11/14
SR Watson (AUSTRALIA),6,0,47,0,7.83,-0,-0,v South Africa,Canberra,19/11/14
NM Coulter-Nile (AUSTRALIA),3,0,16,1,5.33,16,18,v South Africa,Melbourne,21/11/14
PJ Cummins (AUSTRALIA),10,0,61,2,6.1,30.5,30,v South Africa,Melbourne,21/11/14
JP Faulkner (AUSTRALIA),10,0,45,2,4.5,22.5,30,v South Africa,Melbourne,21/11/14
GJ Maxwell (AUSTRALIA),9,0,43,1,4.77,43,54,v South Africa,Melbourne,21/11/14
SPD Smith (AUSTRALIA),3,0,27,0,9,-0,-0,v South Africa,Melbourne,21/11/14
MA Starc (AUSTRALIA),10,0,40,1,4,40,60,v South Africa,Melbourne,21/11/14
SR Watson (AUSTRALIA),5,0,25,0,5,-0,-0,v South Africa,Melbourne,21/11/14
PJ Cummins (AUSTRALIA),9,0,54,3,6,18,18,v South Africa,Sydney,23/11/14
JP Faulkner (AUSTRALIA),8,0,51,1,6.37,51,48,v South Africa,Sydney,23/11/14
JR Hazlewood (AUSTRALIA),9,1,52,0,5.77,-0,-0,v South Africa,Sydney,23/11/14
GJ Maxwell (AUSTRALIA),8,0,30,1,3.75,30,48,v South Africa,Sydney,23/11/14
SPD Smith (AUSTRALIA),5,1,17,1,3.4,17,30,v South Africa,Sydney,23/11/14
MA Starc (AUSTRALIA),10,1,60,0,6,-0,-0,v South Africa,Sydney,23/11/14
SR Watson (AUSTRALIA),1,0,11,0,11,-0,-0,v South Africa,Sydney,23/11/14
PJ Cummins (AUSTRALIA),9,1,42,1,4.66,42,54,v England,Sydney,16/01/15
XJ Doherty (AUSTRALIA),10,0,38,1,3.8,38,60,v England,Sydney,16/01/15
JP Faulkner (AUSTRALIA),10,1,47,3,4.7,15.66,20,v England,Sydney,16/01/15
GJ Maxwell (AUSTRALIA),6,0,37,1,6.16,37,36,v England,Sydney,16/01/15
MA Starc (AUSTRALIA),8.5,0,42,4,4.75,10.5,13.2,v England,Sydney,16/01/15
SR Watson (AUSTRALIA),4,0,23,0,5.75,-0,-0,v England,Sydney,16/01/15
R Ashwin (INDIA),9,0,54,1,6,54,54,v Australia,Melbourne,18/01/15
